09:56:44.036 [INFO ] [unusedFiles     ] 분석 시작  {"projectRoot":"D:\\myRoom"}
09:56:45.076 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./House","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\House.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:45.076 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\snowBackground\\House.tsx"}
09:56:45.077 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./LampPost","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\LampPost.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:45.077 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\snowBackground\\LampPost.tsx"}
09:56:45.077 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./ChristmasTree","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\ChristmasTree.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:45.077 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\snowBackground\\ChristmasTree.tsx"}
09:56:45.077 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"../room/AnimatedWrapper","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\room\\AnimatedWrapper.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["PhaseGroup"]}
09:56:45.077 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\room\\AnimatedWrapper.tsx"}
09:56:45.077 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"../canvas/DayNightContext","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\canvas\\DayNightContext.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["useDayNight","PRESETS"]}
09:56:45.077 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"../canvas/WeatherContext","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\canvas\\WeatherContext.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["useWeather"]}
09:56:45.077 [DEBUG] [unusedFiles     ] BFS 방문  {"step":19,"file":"src\\components\\room\\Room.tsx","queueRemaining":13}
09:56:45.086 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"src\\components\\room\\Room.tsx","importCount":10}
09:56:45.087 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./structure/Floor","from":"src\\components\\room\\Room.tsx","resolved":"src\\components\\room\\structure\\Floor.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:45.087 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\room\\structure\\Floor.tsx"}
09:56:45.087 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./structure/Walls","from":"src\\components\\room\\Room.tsx","resolved":"src\\components\\room\\structure\\Walls.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:45.087 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\room\\structure\\Walls.tsx"}
09:56:45.087 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./structure/Moulding","from":"src\\components\\room\\Room.tsx","resolved":"src\\components\\room\\structure\\Moulding.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:45.087 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\room\\structure\\Moulding.tsx"}
